CustomerID,Age,Gender,Region,Annual_Income,Membership_Years,Engagement_Score,Avg_Session_Minutes,Purchase_Frequency,Discount_Usage_Rate,Total_Spend,Purchased
CUST1387,48,M,North,53636.13,1,58.1,8.27,3,0.22,1993.6,1
CUST1269,49,Female,West,49066.89,5,4.3,33.74,2,0.26,534.27,1
CUST1010,28,Male,North,42505.37,6,65.9,1.24,4,0.27,2227.27,1
CUST1296,65,Male,East,69626.09,0,29.0,22.69,6,0.14,3730.31,1
CUST1027,39,Male,West,50171.26,10,,5.05,4,0.01,3064.69,1
CUST1445,49,Male,East,49604.71,3,76.8,13.13,2,0.88,2620.54,1
CUST1539,48,Male,North,41682.26,2,34.3,12.43,4,0.68,2144.21,1
CUST1085,31,Female,West,51450.01,6,57.6,,3,0.17,1926.41,1
CUST1654,42,Female,West,83236.76,9,72.1,6.32,4,0.9,1795.0,1
CUST1186,37,Male,North,13796.9,5,53.9,11.87,2,0.56,1610.02,1
CUST1746,52,Male,South,69444.48,11,57.8,1.36,4,0.39,2507.95,1
CUST1065,53,Female,East,38581.69,0,41.4,1.95,4,0.97,2442.19,0
CUST1579,68,Male,West,37083.6,3,45.6,21.98,3,0.73,3043.9,1
CUST1761,29,Male,South,28683.35,2,28.7,3.61,3,0.38,1782.3,1
CUST1102,42,Male,North,60285.99,9,23.7,3.81,4,0.63,2746.31,1
CUST1770,25,Male,West,33607.24,3,70.2,10.91,3,0.46,3009.17,1
CUST1103,24,male,East,46202.14,6,38.4,5.92,4,0.89,1485.74,1
CUST1303,52,Female,West,56108.24,6,65.2,,3,0.62,3522.0,1
CUST1214,58,Male,West,67925.77,11,54.6,7.96,0,0.98,1974.3,1
CUST1137,52,Male,South,63902.2,1,40.1,12.21,3,0.98,1529.42,1
CUST1211,49,Male,West,48060.31,5,80.1,1.8,6,0.39,2974.75,1
CUST1729,45,Female,South,63710.06,8,46.3,1.14,2,0.3,1844.05,1
CUST1472,52,Male,North,56956.04,7,68.3,7.56,1,0.34,1462.15,1
CUST1216,66,Female,East,33799.86,3,27.2,7.35,4,0.79,1607.46,1
CUST1610,65,Male,West,61695.28,7,42.7,4.01,2,0.81,2291.34,1
CUST1593,24,Female,North,55856.86,9,45.6,9.48,1,0.1,3175.13,0
CUST1794,35,Female,East,91885.22,4,64.6,12.69,5,0.84,4350.25,1
CUST1565,29,Male,North,57776.45,8,38.5,12.88,3,0.81,3432.18,1
CUST1621,66,Female,East,81974.17,7,72.1,10.91,3,0.67,4521.6,1
CUST1123,26,Male,West,25516.11,11,45.6,2.9,0,0.13,1119.19,1
CUST1294,19,Female,West,101284.7,6,64.2,15.02,2,0.2,3360.77,1
